task_id,barcode_id,assigned_device_id,assay_protocol,task_status
TSK-100800,BC-77291002,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100801,BC-77291003,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100802,BC-77291004,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100803,BC-77291005,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100804,BC-77291006,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100805,BC-77291007,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100806,BC-77291008,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100807,BC-77291009,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100808,BC-77291010,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100809,BC-77291011,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100810,BC-77291012,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100811,BC-77291013,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100812,BC-77291014,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100813,BC-77291015,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100814,BC-77291016,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100815,BC-77291017,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100816,BC-77291018,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100817,BC-77291019,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100818,BC-77291020,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100819,BC-77291021,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100820,BC-77291022,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100821,BC-77291023,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100822,BC-77291024,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100823,BC-77291025,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100824,BC-77291026,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100825,BC-77291027,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100826,BC-77291028,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100827,BC-77291029,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100828,BC-77291030,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100829,BC-77291031,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100830,BC-77291032,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100831,BC-77291033,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100832,BC-77291034,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100833,BC-77291035,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100834,BC-77291036,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100835,BC-77291037,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100836,BC-77291038,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100837,BC-77291039,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100838,BC-77291040,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100839,BC-77291041,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100840,BC-77291042,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100841,BC-77291043,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100842,BC-77291044,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100843,BC-77291045,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100844,BC-77291046,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100845,BC-77291047,DEV-IMM-02,IMMUNO_THY,PROCESSED
