taskId,barcodeId,analyzerId,assayProtocol,processingStatus
TASK-00001-PKI5M,BC000000001,TOX-ABBOTT-05,CLI-ALT,REVIEW
TASK-00002-T43L3,BC000000002,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00003-OX9XL,BC000000003,CHEM-ADVIA-01,CLI-ALT,QUEUED
TASK-00004-ILIAB,BC000000004,CHEM-ADVIA-01,CLI-TSH,QUEUED
TASK-00005-WXH4G,BC000000005,PCR-BIOFIRE-03,CLI-ALT,REVIEW
TASK-00006-HUSV4,BC000000006,HEMA-SYSMEX-02,CLI-CREAT,REVIEW
TASK-00007-XQNH2,BC000000007,HEMA-SYSMEX-02,CLI-ALT,COMPLETED
TASK-00008-KAOVO,BC000000008,PCR-BIOFIRE-03,CLI-TSH,REVIEW
TASK-00009-DAQMO,BC000000009,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00010-ZVO3T,BC000000010,PCR-BIOFIRE-03,CLI-CREAT,QUEUED
TASK-00011-ENAQD,BC000000011,CHEM-ADVIA-01,CLI-CREAT,QUEUED
TASK-00012-G71UU,BC000000012,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00013-0HVXA,BC000000013,UA-ATELLICA-04,CLI-GLU,COMPLETED
TASK-00014-Y7FUT,BC000000014,HEMA-SYSMEX-02,CLI-TSH,QUEUED
TASK-00015-Z9DR2,BC000000015,CHEM-ADVIA-01,CLI-TSH,REVIEW
TASK-00016-KRUMD,BC000000016,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00017-ME57R,BC000000017,HEMA-SYSMEX-02,CLI-GLU,QUEUED
TASK-00018-M7GRE,BC000000018,UA-ATELLICA-04,CLI-ALT,REVIEW
TASK-00019-ATJO7,BC000000019,CHEM-ADVIA-01,CLI-CREAT,QUEUED
TASK-00020-2YRRI,BC000000020,CHEM-ADVIA-01,CLI-ALT,REVIEW
TASK-00021-P9NSR,BC000000021,PCR-BIOFIRE-03,CLI-ALT,QUEUED
TASK-00022-0632B,BC000000022,TOX-ABBOTT-05,CLI-TSH,QUEUED
TASK-00023-8Q96U,BC000000023,HEMA-SYSMEX-02,CLI-ALT,COMPLETED
TASK-00024-R23G3,BC000000024,HEMA-SYSMEX-02,CLI-ALT,QUEUED
TASK-00025-BOO0A,BC000000025,PCR-BIOFIRE-03,CLI-GLU,QUEUED
TASK-00026-BAZRQ,BC000000026,TOX-ABBOTT-05,CLI-ALT,QUEUED
TASK-00027-OXCRB,BC000000027,CHEM-ADVIA-01,CLI-GLU,COMPLETED
TASK-00028-WF78J,BC000000028,CHEM-ADVIA-01,CLI-GLU,REVIEW
TASK-00029-RS2RW,BC000000029,PCR-BIOFIRE-03,CLI-TSH,QUEUED
TASK-00030-6FVSQ,BC000000030,TOX-ABBOTT-05,CLI-CREAT,REVIEW
TASK-00031-GDO1P,BC000000031,UA-ATELLICA-04,CLI-TSH,QUEUED
TASK-00032-MQ78U,BC000000032,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00033-GPE6U,BC000000033,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00034-S6GHA,BC000000034,UA-ATELLICA-04,CLI-TSH,REVIEW
TASK-00035-MPZM9,BC000000035,HEMA-SYSMEX-02,CLI-GLU,COMPLETED
TASK-00036-VO7YN,BC000000036,UA-ATELLICA-04,CLI-TSH,REVIEW
TASK-00037-GU7SR,BC000000037,TOX-ABBOTT-05,CLI-TSH,REVIEW
TASK-00038-UUGA7,BC000000038,TOX-ABBOTT-05,CLI-ALT,REVIEW
TASK-00039-00EH9,BC000000039,HEMA-SYSMEX-02,CLI-GLU,REVIEW
TASK-00040-8LA2U,BC000000040,CHEM-ADVIA-01,CLI-TSH,REVIEW
TASK-00041-TUN88,BC000000041,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00042-O2WFL,BC000000042,CHEM-ADVIA-01,CLI-TSH,QUEUED
TASK-00043-4HO9J,BC000000043,CHEM-ADVIA-01,CLI-TSH,COMPLETED
TASK-00044-4B4KQ,BC000000044,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00045-LXH0N,BC000000045,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00046-EGT2M,BC000000046,HEMA-SYSMEX-02,CLI-CREAT,REVIEW
TASK-00047-QYQQP,BC000000047,UA-ATELLICA-04,CLI-CREAT,REVIEW
TASK-00048-CWI66,BC000000048,TOX-ABBOTT-05,CLI-ALT,QUEUED
TASK-00049-LGI1Q,BC000000049,CHEM-ADVIA-01,CLI-ALT,REVIEW
TASK-00050-U97WM,BC000000050,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00051-MJQVZ,BC000000051,TOX-ABBOTT-05,CLI-CREAT,COMPLETED
TASK-00052-Y51YA,BC000000052,TOX-ABBOTT-05,CLI-ALT,REVIEW
TASK-00053-2T3KM,BC000000053,PCR-BIOFIRE-03,CLI-ALT,REVIEW
TASK-00054-SGCLT,BC000000054,TOX-ABBOTT-05,CLI-GLU,REVIEW
TASK-00055-0SY5F,BC000000055,PCR-BIOFIRE-03,CLI-TSH,COMPLETED
TASK-00056-Y4N99,BC000000056,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00057-F2MBN,BC000000057,UA-ATELLICA-04,CLI-TSH,COMPLETED
TASK-00058-NZ3WP,BC000000058,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00059-62EN1,BC000000059,PCR-BIOFIRE-03,CLI-TSH,REVIEW
TASK-00060-GZKYF,BC000000060,CHEM-ADVIA-01,CLI-CREAT,COMPLETED
TASK-00061-OJAN0,BC000000061,TOX-ABBOTT-05,CLI-CREAT,QUEUED
TASK-00062-1POS3,BC000000062,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00063-IFGKN,BC000000063,CHEM-ADVIA-01,CLI-ALT,QUEUED
TASK-00064-VWL9G,BC000000064,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00065-IN71P,BC000000065,CHEM-ADVIA-01,CLI-GLU,QUEUED
TASK-00066-QNTFF,BC000000066,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00067-BS6O2,BC000000067,CHEM-ADVIA-01,CLI-GLU,QUEUED
TASK-00068-XGWET,BC000000068,PCR-BIOFIRE-03,CLI-ALT,COMPLETED
TASK-00069-QK1E5,BC000000069,UA-ATELLICA-04,CLI-TSH,REVIEW
TASK-00070-98D5W,BC000000070,HEMA-SYSMEX-02,CLI-TSH,QUEUED
TASK-00071-TUW8P,BC000000071,PCR-BIOFIRE-03,CLI-ALT,COMPLETED
TASK-00072-RN1SZ,BC000000072,UA-ATELLICA-04,CLI-TSH,QUEUED
TASK-00073-L8ISU,BC000000073,HEMA-SYSMEX-02,CLI-ALT,REVIEW
TASK-00074-PR2L6,BC000000074,CHEM-ADVIA-01,CLI-ALT,REVIEW
TASK-00075-HGC9M,BC000000075,TOX-ABBOTT-05,CLI-ALT,REVIEW
TASK-00076-SC9AG,BC000000076,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00077-JG0SC,BC000000077,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00078-3TFNH,BC000000078,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00079-4TJID,BC000000079,UA-ATELLICA-04,CLI-TSH,COMPLETED
TASK-00080-7KKKY,BC000000080,CHEM-ADVIA-01,CLI-CREAT,REVIEW
TASK-00081-QX362,BC000000081,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00082-HO2AE,BC000000082,PCR-BIOFIRE-03,CLI-CREAT,COMPLETED
TASK-00083-WFYMY,BC000000083,HEMA-SYSMEX-02,CLI-GLU,COMPLETED
TASK-00084-TMS0Y,BC000000084,UA-ATELLICA-04,CLI-ALT,REVIEW
TASK-00085-JIR6I,BC000000085,HEMA-SYSMEX-02,CLI-ALT,QUEUED
TASK-00086-GEHQ4,BC000000086,CHEM-ADVIA-01,CLI-GLU,REVIEW
TASK-00087-IKQXK,BC000000087,TOX-ABBOTT-05,CLI-ALT,QUEUED
TASK-00088-ISEL3,BC000000088,PCR-BIOFIRE-03,CLI-TSH,COMPLETED
TASK-00089-L319M,BC000000089,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00090-3A0TS,BC000000090,CHEM-ADVIA-01,CLI-TSH,REVIEW
TASK-00091-3DO1J,BC000000091,TOX-ABBOTT-05,CLI-ALT,COMPLETED
TASK-00092-FKWF4,BC000000092,PCR-BIOFIRE-03,CLI-ALT,QUEUED
TASK-00093-ZEEAL,BC000000093,PCR-BIOFIRE-03,CLI-CREAT,REVIEW
TASK-00094-5A9JX,BC000000094,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00095-2YT48,BC000000095,UA-ATELLICA-04,CLI-CREAT,REVIEW
TASK-00096-0OOKK,BC000000096,PCR-BIOFIRE-03,CLI-TSH,COMPLETED
TASK-00097-OU7AU,BC000000097,TOX-ABBOTT-05,CLI-TSH,REVIEW
TASK-00098-SZSA7,BC000000098,PCR-BIOFIRE-03,CLI-ALT,QUEUED
TASK-00099-UCW53,BC000000099,PCR-BIOFIRE-03,CLI-TSH,COMPLETED
TASK-00100-G6S7K,BC000000100,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00101-UJA1J,BC000000101,TOX-ABBOTT-05,CLI-GLU,QUEUED
TASK-00102-WQ6BZ,BC000000102,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00103-HO014,BC000000103,PCR-BIOFIRE-03,CLI-TSH,QUEUED
TASK-00104-CW52J,BC000000104,CHEM-ADVIA-01,CLI-CREAT,QUEUED
TASK-00105-O4WT7,BC000000105,PCR-BIOFIRE-03,CLI-CREAT,QUEUED
TASK-00106-CTFNT,BC000000106,CHEM-ADVIA-01,CLI-ALT,QUEUED
TASK-00107-42BO1,BC000000107,UA-ATELLICA-04,CLI-GLU,COMPLETED
TASK-00108-UENPJ,BC000000108,UA-ATELLICA-04,CLI-ALT,COMPLETED
TASK-00109-5HROM,BC000000109,UA-ATELLICA-04,CLI-CREAT,QUEUED
TASK-00110-0CBH8,BC000000110,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00111-BPOTX,BC000000111,PCR-BIOFIRE-03,CLI-CREAT,QUEUED
TASK-00112-9R200,BC000000112,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00113-KJ5NY,BC000000113,PCR-BIOFIRE-03,CLI-TSH,COMPLETED
TASK-00114-Q6XNH,BC000000114,PCR-BIOFIRE-03,CLI-CREAT,REVIEW
TASK-00115-UMSQK,BC000000115,CHEM-ADVIA-01,CLI-CREAT,COMPLETED
TASK-00116-JSSNS,BC000000116,UA-ATELLICA-04,CLI-ALT,REVIEW
TASK-00117-M7SKO,BC000000117,UA-ATELLICA-04,CLI-GLU,QUEUED
TASK-00118-P0P91,BC000000118,PCR-BIOFIRE-03,CLI-GLU,COMPLETED
TASK-00119-IQYSP,BC000000119,TOX-ABBOTT-05,CLI-CREAT,QUEUED
TASK-00120-5LVKG,BC000000120,HEMA-SYSMEX-02,CLI-CREAT,COMPLETED
TASK-00121-VRIOI,BC000000121,TOX-ABBOTT-05,CLI-TSH,QUEUED
TASK-00122-YHP07,BC000000122,HEMA-SYSMEX-02,CLI-GLU,COMPLETED
TASK-00123-JPES3,BC000000123,CHEM-ADVIA-01,CLI-TSH,QUEUED
TASK-00124-QLO9U,BC000000124,CHEM-ADVIA-01,CLI-GLU,REVIEW
TASK-00125-PIZ70,BC000000125,CHEM-ADVIA-01,CLI-TSH,COMPLETED
TASK-00126-8IFDT,BC000000126,UA-ATELLICA-04,CLI-TSH,COMPLETED
TASK-00127-FK4F9,BC000000127,PCR-BIOFIRE-03,CLI-TSH,QUEUED
TASK-00128-7Y72U,BC000000128,TOX-ABBOTT-05,CLI-GLU,REVIEW
TASK-00129-7KVTA,BC000000129,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00130-PHX0P,BC000000130,PCR-BIOFIRE-03,CLI-ALT,QUEUED
TASK-00131-YZBSC,BC000000131,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00132-J371L,BC000000132,PCR-BIOFIRE-03,CLI-ALT,COMPLETED
TASK-00133-06P7S,BC000000133,TOX-ABBOTT-05,CLI-GLU,REVIEW
TASK-00134-6X7AO,BC000000134,CHEM-ADVIA-01,CLI-GLU,COMPLETED
TASK-00135-79JHO,BC000000135,UA-ATELLICA-04,CLI-GLU,COMPLETED
TASK-00136-0X6YJ,BC000000136,UA-ATELLICA-04,CLI-CREAT,REVIEW
TASK-00137-PA0JO,BC000000137,PCR-BIOFIRE-03,CLI-TSH,QUEUED
TASK-00138-PZY9B,BC000000138,CHEM-ADVIA-01,CLI-ALT,COMPLETED
TASK-00139-I806I,BC000000139,HEMA-SYSMEX-02,CLI-ALT,QUEUED
TASK-00140-8QD47,BC000000140,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00141-13BS4,BC000000141,HEMA-SYSMEX-02,CLI-TSH,COMPLETED
TASK-00142-M5MZF,BC000000142,HEMA-SYSMEX-02,CLI-CREAT,REVIEW
TASK-00143-VN1P2,BC000000143,HEMA-SYSMEX-02,CLI-CREAT,COMPLETED
TASK-00144-Z9M2N,BC000000144,PCR-BIOFIRE-03,CLI-CREAT,QUEUED
TASK-00145-3PDCO,BC000000145,PCR-BIOFIRE-03,CLI-GLU,QUEUED
TASK-00146-28HYE,BC000000146,UA-ATELLICA-04,CLI-GLU,REVIEW
TASK-00147-85P4Z,BC000000147,UA-ATELLICA-04,CLI-GLU,COMPLETED
TASK-00148-JUKDF,BC000000148,PCR-BIOFIRE-03,CLI-TSH,REVIEW
TASK-00149-IG3WT,BC000000149,CHEM-ADVIA-01,CLI-ALT,QUEUED
TASK-00150-0AMGP,BC000000150,TOX-ABBOTT-05,CLI-TSH,COMPLETED
